epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_loss
,0.001,0,,,,
0,,49,0.7319276928901672,135.00347900390625,,
0,,71,,,0.7187336683273315,6.522735595703125
,0.001,72,,,,
1,,99,0.7333620190620422,14.185758590698242,,
1,,143,,,0.7308624386787415,0.45872417092323303
,0.001,144,,,,
2,,149,0.6985179781913757,0.47798120975494385,,
2,,199,0.723936140537262,0.4707801043987274,,
2,,215,,,0.7176547646522522,0.45026975870132446
,0.001,216,,,,
3,,249,0.7271097302436829,0.46037814021110535,,
3,,287,,,0.7180056571960449,0.44987550377845764
,0.001,288,,,,
4,,299,0.745708703994751,0.4178999960422516,,
4,,349,0.7299720644950867,0.45578089356422424,,
4,,359,,,0.7321291565895081,0.44704362750053406
,0.001,360,,,,
5,,399,0.7252440452575684,0.46718472242355347,,
5,,431,,,0.7324628233909607,0.4462374448776245
,0.001,432,,,,
6,,449,0.725444495677948,0.4342072904109955,,
6,,499,0.7305451035499573,0.4454118013381958,,
6,,503,,,0.7325291037559509,0.4457828104496002
,0.001,504,,,,
7,,549,0.731136679649353,0.41862866282463074,,
7,,575,,,0.732848048210144,0.44534194469451904
,0.001,576,,,,
8,,599,0.7288045883178711,0.4623444378376007,,
8,,647,,,0.7330774068832397,0.4451539218425751
,0.001,648,,,,
9,,649,0.7322080731391907,0.4582415223121643,,
9,,699,0.7348685264587402,0.4104999005794525,,
9,,719,,,0.7331429123878479,0.4448592960834503
,0.001,720,,,,
10,,749,0.7274770736694336,0.4219857156276703,,
10,,791,,,0.7331714630126953,0.44452014565467834
,0.001,792,,,,
11,,799,0.7346658110618591,0.46909788250923157,,
11,,849,0.72781902551651,0.4643010199069977,,
11,,863,,,0.7333648800849915,0.4442940354347229
,0.001,864,,,,
12,,899,0.7313476204872131,0.4718644320964813,,
12,,935,,,0.7335272431373596,0.4439655840396881
,0.001,936,,,,
13,,949,0.7263144850730896,0.41905900835990906,,
13,,999,0.7285773754119873,0.4562505781650543,,
13,,1007,,,0.7336501479148865,0.4436986744403839
,0.001,1008,,,,
14,,1049,0.7309360504150391,0.44712844491004944,,
14,,1079,,,0.7335551381111145,0.44367584586143494
,0.001,1080,,,,
15,,1099,0.7268900275230408,0.4682714343070984,,
15,,1149,0.7292410135269165,0.44558605551719666,,
15,,1151,,,0.7339895963668823,0.44317254424095154
,0.001,1152,,,,
16,,1199,0.7277616262435913,0.41216254234313965,,
16,,1223,,,0.7340452671051025,0.44291168451309204
,0.001,1224,,,,
17,,1249,0.730850875377655,0.4173654019832611,,
17,,1295,,,0.7342919707298279,0.4425513744354248
,0.001,1296,,,,
18,,1299,0.7332532405853271,0.45553070306777954,,
18,,1349,0.7346599102020264,0.4595676362514496,,
18,,1367,,,0.7344396114349365,0.4422232508659363
,0.001,1368,,,,
19,,1399,0.7286285161972046,0.46434706449508667,,
19,,1439,,,0.7346583604812622,0.4419345557689667
,0.001,1440,,,,
20,,1449,0.7334910035133362,0.4229243993759155,,
20,,1499,0.7283134460449219,0.4560069739818573,,
20,,1511,,,0.7347389459609985,0.4417046904563904
,0.001,1512,,,,
21,,1549,0.7302171587944031,0.44511017203330994,,
21,,1583,,,0.7349674105644226,0.4414847493171692
,0.001,1584,,,,
22,,1599,0.728753387928009,0.41651231050491333,,
22,,1649,0.7351185083389282,0.4546580910682678,,
22,,1655,,,0.7351676225662231,0.4412388205528259
,0.001,1656,,,,
23,,1699,0.7303181290626526,0.4416463077068329,,
23,,1727,,,0.7350072264671326,0.4413151741027832
,0.001,1728,,,,
24,,1749,0.7342020869255066,0.46088239550590515,,
24,,1799,0.732814371585846,0.4435558617115021,,
24,,1799,,,0.7352513074874878,0.44090721011161804
,0.001,1800,,,,
25,,1849,0.7343865036964417,0.4110215902328491,,
25,,1871,,,0.735376238822937,0.44073668122291565
,0.001,1872,,,,
26,,1899,0.7320715188980103,0.4115179181098938,,
26,,1943,,,0.7354094386100769,0.4407590925693512
,0.001,1944,,,,
27,,1949,0.7331181764602661,0.46065017580986023,,
27,,1999,0.7310874462127686,0.46556124091148376,,
27,,2015,,,0.7354270219802856,0.44060033559799194
,0.001,2016,,,,
28,,2049,0.7361343502998352,0.4541621506214142,,
28,,2087,,,0.7354990839958191,0.4405495822429657
,0.001,2088,,,,
29,,2099,0.7287273406982422,0.41519778966903687,,
29,,2149,0.7350199222564697,0.4486005902290344,,
29,,2159,,,0.7355525493621826,0.4405312240123749
,0.001,2160,,,,
30,,2199,0.727548360824585,0.4496592581272125,,
30,,2231,,,0.7353834509849548,0.4404592216014862
,0.001,2232,,,,
31,,2249,0.7679965496063232,0.4157339036464691,,
31,,2299,0.7357047200202942,0.439026802778244,,
31,,2303,,,0.7355025410652161,0.44039440155029297
,0.001,2304,,,,
32,,2349,0.7318716049194336,0.4105786979198456,,
32,,2375,,,0.7354239225387573,0.4403454661369324
,0.001,2376,,,,
33,,2399,0.7312790751457214,0.4597580134868622,,
33,,2447,,,0.7352830767631531,0.44031330943107605
,0.001,2448,,,,
34,,2449,0.7354402542114258,0.45500412583351135,,
34,,2499,0.7381318807601929,0.406181663274765,,
34,,2519,,,0.7353194952011108,0.44026127457618713
,0.001,2520,,,,
35,,2549,0.7336127758026123,0.4138350188732147,,
35,,2591,,,0.7352731227874756,0.4402265250682831
,0.001,2592,,,,
36,,2599,0.7390183806419373,0.4642106592655182,,
36,,2649,0.7308825254440308,0.45892030000686646,,
36,,2663,,,0.7352662682533264,0.440162718296051
,0.001,2664,,,,
37,,2699,0.7375845313072205,0.4661669433116913,,
37,,2735,,,0.7351939678192139,0.44018054008483887
,0.001,2736,,,,
38,,2749,0.7292390465736389,0.41504400968551636,,
38,,2799,0.7305424809455872,0.4523843824863434,,
38,,2807,,,0.7352587580680847,0.44009125232696533
,0.001,2808,,,,
39,,2849,0.7329237461090088,0.4445596933364868,,
39,,2879,,,0.7351924777030945,0.4400861859321594
,0.001,2880,,,,
40,,2899,0.7293210625648499,0.46593672037124634,,
40,,2949,0.7320834398269653,0.4434702694416046,,
40,,2951,,,0.7350877523422241,0.44013211131095886
,0.001,2952,,,,
41,,2999,0.729554295539856,0.40786927938461304,,
41,,3023,,,0.735154926776886,0.44012653827667236
,0.001,3024,,,,
42,,3049,0.7313966751098633,0.4142221510410309,,
